@relation 'cmo2-weka.filters.unsupervised.attribute.Remove-R1,5-8'

@attribute hammerforce numeric
@attribute sensor1 numeric
@attribute sensor2 numeric
@attribute class {1,3,4,5,6,7}

@data
0.389969,-0.30047,0.056823,1
0.405319,0.246066,-0.025893,1
0.405319,0.041059,0.55339,1
0.382319,-0.163724,0.263749,1
0.374619,-0.027202,0.056823,1
0.382319,0.041059,0.180761,1
0.374619,0.041059,-0.150103,1
0.389969,0.041059,0.304971,1
0.389969,-0.061221,0.056823,1
0.389969,-0.129706,0.180761,1
0.397669,-0.197967,-0.025893,1
0.374619,0.246066,-0.274312,1
0.382319,-0.061221,0.015329,1
0.366919,0.00704,0.180761,1
0.366919,-0.061221,0.056823,1
0.397669,0.041059,-0.232819,1
0.389969,0.041059,-0.274312,1
0.382319,0.211824,0.098045,1
0.397669,0.177805,-0.067387,1
0.382319,-0.129706,0.056823,1
0.366919,0.041059,0.180761,1
0.382319,0.143563,-0.10888,1
0.382319,0.211824,-0.191596,1
0.366919,0.041059,0.139539,1
0.389969,0.109544,0.263749,1
0.389969,-0.197967,0.098045,1
0.397669,-0.231985,0.263749,1
0.374619,-0.027202,0.056823,1
0.366919,0.041059,0.139539,1
0.374619,-0.197967,-0.398522,1
0.366919,0.075302,-0.232819,1
0.382319,-0.231985,-0.398522,1
0.382319,-0.129706,-0.025893,1
0.359269,0.00704,0.056823,1
0.382319,0.00704,0.263749,1
0.382319,0.075302,0.346465,1
0.366919,-0.027202,0.222255,1
0.382319,-0.30047,0.180761,1
0.420719,0.109544,0.180761,1
0.366919,-0.061221,-0.025893,1
0.366919,0.143563,0.139539,1
0.382319,0.143563,0.098045,1
0.366919,0.041059,-0.025893,1
0.374619,-0.163724,0.387687,1
0.374619,0.143563,-0.191596,1
0.374619,0.075302,-0.150103,1
0.397669,0.177805,-0.274312,1
0.382319,-0.163724,-0.025893,1
0.382319,0.177805,-0.067387,1
0.374619,0.041059,-0.067387,1
0.366919,0.177805,-0.232819,1
0.374619,-0.095463,-0.10888,1
0.389969,0.041059,-0.025893,1
0.397669,-0.163724,0.180761,1
0.359269,-0.163724,0.056823,1
0.382319,-0.197967,-0.315806,1
0.374619,-0.266228,-0.067387,1
0.374619,0.109544,0.015329,1
0.382319,0.246066,0.056823,1
0.397669,-0.266228,-0.067387,1
0.413019,-0.197967,0.098045,1
0.389969,-0.197967,0.056823,1
0.359269,0.246066,-0.025893,1
0.366919,0.075302,0.263749,1
0.359269,0.075302,-0.191596,1
0.382319,0.177805,-0.315806,1
0.374619,0.075302,-0.150103,1
0.382319,0.041059,0.015329,1
0.374619,-0.027202,0.098045,1
0.374619,-0.30047,-0.067387,1
0.389969,-0.163724,-0.150103,1
0.382319,0.00704,0.056823,1
0.382319,0.34857,-0.357028,1
0.382319,0.075302,0.056823,1
0.397669,0.109544,-0.025893,1
0.382319,0.075302,-0.191596,1
0.382319,0.177805,0.056823,1
0.382319,0.314327,0.304971,1
0.366919,0.246066,-0.067387,1
0.366919,0.382588,-0.067387,1
0.389969,0.00704,0.056823,1
0.382319,0.519334,0.015329,1
0.382319,0.143563,-0.10888,1
0.359269,0.00704,-0.191596,1
0.366919,0.075302,0.056823,1
0.397669,-0.095463,0.180761,1
0.374619,-0.471011,0.180761,1
0.382319,0.211824,0.387687,1
0.382319,-0.197967,0.304971,1
0.389969,0.00704,0.056823,1
0.397669,-0.163724,0.139539,1
0.413019,0.177805,0.222255,1
0.374619,0.00704,-0.10888,1
0.359269,0.00704,0.056823,1
0.382319,-0.197967,-0.274312,1
0.397669,-0.163724,-0.439744,1
0.397669,-0.231985,-0.10888,1
0.374619,-0.231985,-0.150103,1
0.374619,-0.061221,-0.10888,1
0.389969,0.041059,-0.150103,1
0.382319,-0.368731,0.098045,1
0.413019,0.041059,-0.025893,1
0.374619,0.109544,0.139539,1
0.382319,0.075302,-0.232819,1
0.397669,0.177805,-0.274312,1
0.374619,0.109544,-0.232819,1
0.374619,0.00704,0.056823,1
0.382319,0.109544,-0.067387,1
0.397669,0.00704,-0.025893,1
0.389969,0.00704,-0.10888,1
0.405319,-0.30047,0.015329,1
0.420719,0.041059,-0.150103,1
0.428369,-0.231985,-0.025893,1
0.389969,-0.095463,0.056823,1
0.382319,-0.095463,0.263749,1
0.382319,-0.061221,0.056823,1
0.374619,0.246066,-0.025893,1
0.397669,-0.129706,0.304971,1
0.389969,-0.197967,0.139539,1
0.374619,-0.197967,0.056823,1
0.397669,-0.30047,-0.191596,1
0.382319,-0.471011,-0.067387,1
0.366919,-0.095463,-0.191596,1
0.428369,0.109544,0.222255,1
0.382319,0.00704,-0.067387,1
0.397669,0.143563,-0.067387,1
0.382319,-0.095463,0.429181,1
0.389969,-0.061221,0.180761,1
0.374619,0.143563,0.304971,1
0.374619,0.041059,0.222255,1
0.382319,-0.095463,-0.025893,1
0.389969,-0.095463,0.346465,1
0.397669,-0.197967,0.387687,1
0.382319,-0.197967,-0.067387,1
0.397669,0.075302,0.098045,1
0.382319,-0.061221,0.180761,1
0.382319,-0.061221,0.139539,1
0.359269,-0.163724,0.015329,1
0.382319,-0.095463,-0.025893,1
0.366919,-0.129706,0.346465,1
0.397669,-0.163724,0.346465,1
0.366919,-0.197967,0.222255,1
0.374619,0.041059,0.263749,1
0.397669,0.177805,0.222255,1
0.405319,-0.061221,0.180761,1
0.413019,0.041059,0.139539,1
0.389969,0.109544,0.015329,1
0.397669,-0.163724,0.098045,1
0.366919,0.075302,-0.025893,1
0.382319,0.280085,0.139539,1
0.382319,0.041059,0.180761,1
0.389969,0.314327,0.139539,1
0.382319,0.211824,0.263749,1
0.389969,-0.027202,-0.067387,1
0.366919,-0.436992,0.263749,1
0.397669,-0.231985,0.263749,1
0.405319,-0.231985,0.139539,1
0.374619,-0.231985,-0.10888,1
0.382319,-0.30047,-0.10888,1
0.382319,-0.095463,-0.232819,1
0.366919,-0.231985,-0.232819,1
0.382319,0.041059,-0.025893,1
0.343919,0.00704,0.056823,1
0.389969,-0.095463,0.304971,1
0.374619,-0.027202,0.304971,1
0.382319,0.211824,0.263749,1
0.374619,0.00704,0.098045,1
0.405319,-0.231985,0.139539,1
0.389969,-0.061221,0.098045,1
0.382319,-0.266228,-0.150103,1
0.374619,-0.163724,-0.025893,1
0.366919,-0.505254,-0.025893,1
0.397669,-0.163724,-0.10888,1
0.382319,-0.163724,0.222255,1
0.359269,-0.129706,-0.191596,1
0.374619,-0.163724,-0.067387,1
0.351569,0.177805,0.139539,1
0.382319,-0.095463,-0.025893,1
0.366919,-0.163724,0.056823,1
0.374619,0.246066,0.180761,1
0.366919,0.177805,-0.191596,1
0.359269,-0.027202,-0.232819,1
0.389969,0.00704,-0.232819,1
0.351569,0.075302,-0.274312,1
0.366919,-0.40275,-0.274312,1
0.382319,-0.334489,-0.191596,1
0.351569,-0.163724,-0.191596,1
0.382319,-0.163724,-0.274312,1
0.397669,0.041059,0.098045,1
0.382319,0.177805,-0.025893,1
0.351569,0.041059,0.139539,1
0.382319,0.177805,0.015329,1
0.343919,0.314327,-0.274312,1
0.351569,0.177805,-0.191596,1
0.343919,0.177805,-0.357028,1
0.382319,0.00704,0.222255,1
0.359269,0.416831,-0.191596,1
0.389969,0.00704,-0.191596,1
0.389969,0.109544,0.098045,1
0.413019,-0.061221,0.139539,1
0.366919,-0.061221,0.056823,1
0.374619,0.177805,0.098045,1
0.374619,-0.231985,0.056823,1
0.366919,0.143563,0.015329,1
0.374619,0.177805,-0.10888,1
0.397669,-0.197967,-0.191596,1
0.359269,-0.129706,-0.10888,1
0.366919,-0.061221,-0.315806,1
0.366919,-0.095463,-0.191596,1
0.374619,0.211824,-0.191596,1
0.351569,-0.027202,-0.025893,1
0.351569,0.041059,0.056823,1
0.351569,-0.027202,-0.232819,1
0.405319,0.075302,-0.274312,1
0.366919,-0.368731,-0.025893,1
0.382319,-0.40275,0.222255,1
0.343919,-0.061221,0.139539,1
0.366919,0.00704,0.180761,1
0.359269,-0.095463,0.263749,1
0.343919,0.177805,0.263749,1
0.405319,0.177805,-0.025893,1
0.389969,-0.095463,-0.191596,1
0.366919,-0.334489,-0.025893,1
0.366919,-0.095463,0.180761,1
0.359269,-0.027202,0.139539,1
0.366919,0.211824,0.346465,1
0.366919,0.143563,0.718822,1
0.336219,0.00704,0.056823,1
0.336219,-0.095463,0.263749,1
0.366919,-0.095463,0.470674,1
0.374619,-0.266228,0.55339,1
0.366919,-0.197967,0.098045,1
0.366919,-0.334489,0.470674,1
0.359269,-0.334489,0.346465,1
0.351569,-0.368731,0.139539,1
0.366919,-0.061221,0.429181,1
0.359269,-0.163724,-0.10888,1
0.374619,-0.436992,-0.067387,1
0.374619,-0.095463,0.098045,1
0.374619,-0.095463,-0.10888,1
0.366919,-0.129706,0.263749,1
0.343919,-0.027202,0.098045,1
0.359269,-0.163724,0.056823,1
0.405319,0.075302,0.056823,1
0.374619,0.041059,0.015329,1
0.366919,-0.095463,0.098045,1
0.343919,0.00704,0.180761,1
0.366919,-0.197967,0.098045,1
0.359269,-0.163724,-0.191596,1
0.366919,-0.197967,-0.10888,1
0.336219,0.041059,-0.232819,1
0.351569,-0.163724,0.098045,1
0.374619,0.143563,0.098045,1
0.397669,-0.027202,-0.150103,1
0.366919,0.075302,0.015329,1
0.413019,0.00704,0.304971,1
0.366919,-0.061221,0.429181,1
0.382319,-0.231985,0.263749,1
0.366919,-0.163724,-0.10888,1
0.374619,0.177805,0.304971,1
0.366919,0.041059,-0.025893,1
0.366919,0.075302,0.304971,1
0.389969,0.041059,-0.067387,1
0.389969,-0.027202,0.015329,1
0.397669,-0.129706,-0.150103,1
0.405319,-0.027202,-0.067387,1
0.359269,0.416831,-0.025893,1
0.382319,0.211824,-0.067387,1
0.382319,0.109544,-0.10888,1
0.359269,0.211824,0.470674,1
0.382319,-0.163724,0.387687,1
0.389969,-0.30047,0.263749,1
0.374619,-0.197967,0.139539,1
0.366919,-0.095463,0.180761,1
0.374619,0.00704,-0.232819,1
0.359269,-0.129706,-0.025893,1
0.382319,-0.095463,-0.025893,1
0.374619,0.109544,0.346465,1
0.374619,-0.129706,0.098045,1
0.366919,-0.061221,-0.191596,1
0.366919,0.143563,-0.274312,1
0.366919,0.177805,0.015329,1
0.366919,0.314327,-0.025893,1
0.366919,-0.095463,-0.067387,1
0.397669,0.00704,0.015329,1
0.397669,-0.095463,0.098045,1
0.397669,0.075302,0.139539,1
0.374619,0.00704,0.056823,1
0.366919,-0.163724,-0.025893,1
0.359269,0.075302,-0.357028,1
0.374619,0.075302,-0.191596,1
0.397669,-0.266228,-0.025893,1
0.359269,0.041059,-0.150103,1
0.366919,0.109544,-0.067387,1
0.389969,-0.197967,0.180761,1
0.382319,-0.231985,0.387687,1
0.397669,-0.163724,0.263749,1
0.374619,-0.129706,0.222255,1
0.382319,0.041059,0.387687,1
0.382319,0.041059,0.098045,1
0.397669,0.143563,0.222255,1
0.366919,-0.061221,-0.067387,1
0.389969,-0.30047,-0.025893,1
0.374619,-0.163724,0.098045,1
0.397669,-0.197967,-0.067387,1
0.374619,-0.30047,-0.025893,1
0.374619,0.280085,0.098045,1
0.382319,0.246066,-0.067387,1
0.382319,0.041059,0.098045,1
0.366919,-0.163724,0.056823,1
0.359269,0.211824,-0.10888,1
0.351569,-0.061221,-0.10888,1
0.374619,-0.027202,-0.232819,1
0.397669,-0.095463,0.222255,1
0.389969,-0.163724,-0.025893,1
0.382319,-0.231985,-0.10888,1
0.366919,-0.30047,0.098045,1
0.351569,-0.061221,0.139539,1
0.374619,0.246066,0.056823,1
0.366919,0.211824,0.304971,1
0.351569,0.075302,0.139539,1
0.351569,-0.027202,0.387687,1
0.382319,-0.197967,0.263749,1
0.382319,-0.163724,0.139539,1
0.382319,0.314327,0.180761,1
0.382319,0.109544,0.139539,1
0.389969,0.109544,0.180761,1
0.382319,-0.061221,-0.025893,1
0.366919,-0.163724,0.139539,1
0.374619,-0.30047,-0.025893,1
0.366919,-0.095463,-0.10888,1
0.366919,0.00704,-0.025893,1
0.366919,-0.163724,-0.398522,1
0.366919,-0.027202,-0.191596,1
0.389969,-0.027202,-0.150103,1
0.389969,-0.061221,-0.150103,1
0.366919,0.041059,-0.191596,1
0.359269,0.041059,-0.10888,1
0.374619,-0.163724,-0.150103,1
0.351569,0.075302,0.015329,1
0.359269,0.109544,0.056823,1
0.351569,-0.231985,0.180761,1
0.351569,0.314327,0.222255,1
0.351569,0.143563,0.056823,1
0.336219,0.143563,0.098045,1
0.366919,0.075302,0.387687,1
0.374619,-0.095463,0.015329,1
0.366919,0.109544,0.304971,1
0.366919,-0.095463,0.056823,1
0.351569,0.041059,-0.191596,1
0.320869,0.109544,0.263749,1
0.366919,-0.061221,0.056823,1
0.343919,-0.197967,-0.067387,1
0.343919,-0.163724,-0.067387,1
0.382319,-0.129706,-0.067387,1
0.336219,-0.061221,0.056823,1
0.374619,-0.061221,-0.150103,1
0.366919,0.109544,0.098045,1
0.359269,0.382588,0.056823,1
0.351569,0.075302,0.139539,1
0.343919,0.075302,0.098045,1
0.351569,-0.027202,0.056823,1
0.343919,-0.163724,0.346465,1
0.343919,-0.129706,0.139539,1
0.366919,0.075302,0.304971,1
0.351569,0.041059,-0.067387,1
0.343919,-0.231985,-0.191596,1
0.351569,0.109544,-0.025893,1
0.336219,-0.368731,-0.025893,1
