@relation 'civil-weka.filters.unsupervised.attribute.Remove-R1,5-8-weka.filters.unsupervised.attribute.Standardize'

@attribute hammerforce numeric
@attribute sensor1 numeric
@attribute sensor2 numeric
@attribute class {1,3,4,5,6,7}

@data
-0.028514,-0.001452,-0.003022,3
-0.019385,-0.007372,-0.000781,3
-0.034594,0.00249,0.012617,3
-0.025464,-0.009336,0.008151,3
-0.022414,0.00249,0.003685,3
-0.028514,-0.001452,0.010377,3
-0.028514,0.010386,0.014858,3
-0.025464,0.020248,0.005911,3
-0.037623,0.020248,-0.014195,3
-0.022414,0.00249,-0.025368,3
-0.028514,0.00249,-0.016435,3
-0.028514,-0.003417,0.001445,3
-0.022414,0.008409,-0.005262,3
-0.025464,0.000525,-0.003022,3
-0.025464,0.000525,-0.007488,3
-0.022414,0.01827,-0.011954,3
-0.031544,0.020248,-0.014195,3
-0.031544,0.012351,-0.009728,3
-0.028514,0.000525,-0.007488,3
-0.025464,0.00249,0.003685,3
-0.025464,0.000525,0.003685,3
-0.025464,-0.007372,0.02155,3
-0.031544,0.012351,0.014858,3
-0.028514,-0.001452,0.010377,3
-0.034594,-0.007372,0.005911,3
-0.028514,0.012351,0.008151,3
-0.031544,0.000525,0.010377,3
-0.025464,-0.003417,0.008151,3
-0.028514,0.006444,0.02155,3
-0.034594,-0.015256,0.017084,3
-0.028514,-0.011314,0.012617,3
-0.028514,-0.011314,0.005911,3
-0.025464,-0.009336,-0.007488,3
-0.034594,0.006444,0.010377,3
-0.037623,0.006444,0.003685,3
-0.031544,0.010386,0.005911,3
-0.034594,0.000525,0.012617,3
-0.028514,-0.003417,0.012617,3
-0.028514,-0.011314,0.001445,3
-0.022414,-0.013278,-0.014195,3
-0.025464,0.00249,-0.023127,3
-0.034594,-0.015256,-0.009728,3
-0.031544,-0.007372,-0.007488,3
-0.034594,0.012351,0.003685,3
-0.016335,0.014328,-0.011954,3
-0.034594,-0.003417,-0.005262,3
-0.034594,0.012351,-0.018661,3
-0.034594,0.014328,-0.000781,3
-0.034594,0.008409,-0.005262,3
-0.037623,0.016293,-0.000781,3
-0.034594,0.016293,-0.003022,3
-0.022414,0.006444,-0.003022,3
-0.034594,-0.009336,-0.016435,3
-0.028514,0.000525,-0.011954,3
-0.037623,-0.001452,0.005911,3
-0.028514,0.000525,0.008151,3
-0.034594,-0.003417,0.014858,3
-0.034594,0.000525,0.010377,3
-0.034594,0.00249,-0.000781,3
-0.034594,0.012351,-0.005262,3
-0.028514,0.006444,0.005911,3
-0.034594,-0.001452,0.005911,3
-0.043723,-0.007372,0.001445,3
-0.046753,0.00249,0.008151,3
-0.040673,-0.003417,-0.005262,3
-0.046753,-0.009336,-0.009728,3
-0.037623,-0.007372,0.008151,3
-0.040673,-0.007372,0.010377,3
-0.046753,-0.011314,-0.000781,3
-0.037623,-0.009336,-0.005262,3
-0.040673,-0.003417,-0.007488,3
-0.040673,-0.001452,-0.003022,3
-0.046753,-0.02314,0.005911,3
-0.046753,0.000525,-0.007488,3
-0.040673,0.010386,0.008151,3
-0.040673,-0.007372,0.005911,3
-0.046753,0.000525,0.003685,3
-0.043723,0.01827,-0.007488,3
-0.040673,-0.001452,0.02155,3
-0.046753,0.004467,0.003685,3
-0.034594,-0.001452,0.003685,3
-0.046753,-0.011314,-0.003022,3
-0.052832,0.00249,-0.009728,3
-0.043723,0.014328,0.012617,3
-0.040673,0.000525,-0.005262,3
-0.043723,-0.011314,-0.000781,3
-0.040673,-0.019198,-0.003022,3
-0.037623,-0.003417,0.012617,3
-0.043723,-0.009336,-0.005262,3
-0.037623,-0.019198,-0.005262,3
-0.040673,-0.001452,-0.007488,3
-0.040673,-0.009336,-0.007488,3
-0.046753,0.000525,-0.005262,3
-0.040673,0.000525,-0.000781,3
-0.046753,0.016293,-0.005262,3
-0.040673,-0.001452,0.010377,3
-0.040673,-0.003417,0.010377,3
-0.037623,0.008409,0.017084,3
-0.046753,-0.003417,-0.003022,3
-0.049802,0.004467,0.005911,3
-0.043723,0.00249,0.017084,3
-0.040673,-0.007372,-0.005262,3
-0.046753,0.00249,0.014858,3
